Journal,ISSN,eISSN,Category,IF(2024),IF Quartile(2024),IF Rank(2024)
ANZ JOURNAL OF SURGERY,1445-1433,1445-2197,SURGERY(SCIE),1.6,Q2,156/312
CLINICAL NEUROLOGY AND NEUROSURGERY,0303-8467,1872-6968,CLINICAL NEUROLOGY(SCIE);SURGERY(SCIE),1.6,Q2,156/312
Journal of Orthopaedic Surgery,1022-5536,2309-4990,ORTHOPEDICS(SCIE);SURGERY(SCIE),1.6,Q2,156/312
Advances in Orthopedics,2090-3464,2090-3472,ORTHOPEDICS(ESCI),1.6,Q3,78/139
Geriatric Orthopaedic Surgery & Rehabilitation,2151-4585,2151-4593,GERIATRICS & GERONTOLOGY(SCIE);ORTHOPEDICS(SCIE);REHABILITATION(SCIE);SURGERY(SCIE),1.6,Q2,75/173
Health Marketing Quarterly,0735-9683,1545-0864,BUSINESS(ESCI);HEALTH POLICY & SERVICES(ESCI),1.6,Q3,215/316
JOURNAL OF DENTAL EDUCATION,0022-0337,1930-7837,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",1.6,Q3,97/162
Pediatric Gastroenterology Hepatology & Nutrition,2234-8646,2234-8840,PEDIATRICS(ESCI),1.6,Q2,91/191
International Review of Social Psychology,2397-8570,2397-8570,"PSYCHOLOGY, SOCIAL(SSCI)",1.6,Q3,56/78
JOURNAL OF HELMINTHOLOGY,0022-149X,1475-2697,PARASITOLOGY(SCIE);ZOOLOGY(SCIE),1.6,Q2,53/181
Tree Genetics & Genomes,1614-2942,1614-2950,FORESTRY(SCIE);GENETICS & HEREDITY(SCIE);HORTICULTURE(SCIE),1.6,Q2,43/92
CHINESE JOURNAL OF PHYSIOLOGY,0304-4920,2666-0059,PHYSIOLOGY(SCIE),1.6,Q4,71/87
Communication Reports,0893-4215,1745-1043,COMMUNICATION(ESCI),1.6,Q2,93/227
Journal of Behavioral and Cognitive Therapy,2589-9791,2589-9791,"PSYCHIATRY(ESCI);PSYCHOLOGY, CLINICAL(ESCI)",1.6,Q3,111/185
Journal of the American Association of Nurse Practitioners,2327-6886,2327-6924,"HEALTH CARE SCIENCES & SERVICES(SCIE);NURSING(SCIE, SSCI)",1.6,Q2,93/192
OPEN SYSTEMS & INFORMATION DYNAMICS,1230-1612,1793-7191,"PHYSICS, MATHEMATICAL(SCIE);STATISTICS & PROBABILITY(SCIE)",1.6,Q2,51/167
PEDIATRICS IN REVIEW,0191-9601,1526-3347,PEDIATRICS(ESCI),1.6,Q2,91/191
Women,N/A,2673-4184,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI);WOMENS STUDIES(ESCI)",1.6,Q2,25/70
AGING NEUROPSYCHOLOGY AND COGNITION,1382-5585,1744-4128,"PSYCHOLOGY, DEVELOPMENTAL(SSCI);PSYCHOLOGY, EXPERIMENTAL(SSCI)",1.6,Q3,70/102
ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,1367-2223,1467-839X,"PSYCHOLOGY, SOCIAL(SSCI)",1.6,Q3,56/78
Clinical and Experimental Reproductive Medicine-CERM,2233-8233,2233-8241,OBSTETRICS & GYNECOLOGY(ESCI);REPRODUCTIVE BIOLOGY(ESCI),1.6,Q3,86/140
Dynamic Games and Applications,2153-0785,2153-0793,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE)",1.6,Q3,71/136
International Journal of Micro Air Vehicles,1756-8293,1756-8307,"ENGINEERING, AEROSPACE(SCIE)",1.6,Q2,24/55
Journal for Specialists in Pediatric Nursing,1539-0136,1744-6155,"NURSING(SCIE, SSCI);PEDIATRICS(SCIE)",1.6,Q2,91/191
JOURNAL OF VIROLOGICAL METHODS,0166-0934,1879-0984,BIOCHEMICAL RESEARCH METHODS(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);VIROLOGY(SCIE),1.6,Q4,32/42
Plant Gene,2352-4073,2352-4073,GENETICS & HEREDITY(ESCI);PLANT SCIENCES(ESCI),1.6,Q3,139/273
PSYCHOLOGICAL REPORTS,0033-2941,1558-691X,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",1.6,Q2,103/221
Current Pediatric Reviews,1573-3963,1875-6336,PEDIATRICS(ESCI),1.6,Q2,91/191
FOLIA PARASITOLOGICA,0015-5683,1803-6465,PARASITOLOGY(SCIE),1.6,Q3,29/47
Journal of Second Language Pronunciation,2215-1931,2215-194X,LINGUISTICS(ESCI),1.6,Q2,80/303
MULTISCALE MODELING & SIMULATION,1540-3459,1540-3467,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);PHYSICS, MATHEMATICAL(SCIE)",1.6,Q2,25/61
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1558-4593,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",1.6,Q3,82/128
ANNALS OF VASCULAR SURGERY,0890-5096,1615-5947,PERIPHERAL VASCULAR DISEASE(SCIE);SURGERY(SCIE),1.6,Q2,156/312
Behavior and Social Issues,1064-9506,2376-6786,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",1.6,Q2,103/221
Drugs Habits and Social Policy,2752-6739,2752-6747,SUBSTANCE ABUSE(ESCI),1.6,Q4,44/58
Health Security,2326-5094,2326-5108,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",1.6,Q3,277/419
Innovations-Technology and Techniques in Cardiothoracic and Vascular Surgery,1556-9845,1559-0879,SURGERY(ESCI),1.6,Q2,156/312
Monash Bioethics Review,1321-2753,1836-6716,ETHICS(ESCI),1.6,Q2,34/77
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,0270-1367,2168-3824,"HOSPITALITY, LEISURE, SPORT & TOURISM(SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, APPLIED(SSCI);SPORT SCIENCES(SCIE)",1.6,Q3,74/133
Behavioral Sleep Medicine,1540-2002,1540-2010,CLINICAL NEUROLOGY(SCIE);PSYCHIATRY(SCIE),1.6,Q3,194/288
CARDIOLOGY CLINICS,0733-8651,1558-2264,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),1.6,Q3,146/230
CHILD & YOUTH CARE FORUM,1053-1890,1573-3319,"PSYCHOLOGY, DEVELOPMENTAL(SSCI)",1.6,Q4,72/94
COMPUTATIONAL STATISTICS & DATA ANALYSIS,0167-9473,1872-7352,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);STATISTICS & PROBABILITY(SCIE)",1.6,Q2,51/167
EXPERIMENTAL PARASITOLOGY,0014-4894,1090-2449,PARASITOLOGY(SCIE),1.6,Q3,29/47
Journal for Nurses in Professional Development,2169-9798,2169-981X,NURSING(ESCI),1.6,Q2,93/192
JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,0236-5731,1588-2780,"CHEMISTRY, ANALYTICAL(SCIE);CHEMISTRY, INORGANIC & NUCLEAR(SCIE);NUCLEAR SCIENCE & TECHNOLOGY(SCIE)",1.6,Q3,23/41
BioResources,1930-2126,1930-2126,"MATERIALS SCIENCE, PAPER & WOOD(SCIE)",1.6,Q2,45924
Freshwater Science,2161-9549,2161-9565,ECOLOGY(SCIE);MARINE & FRESHWATER BIOLOGY(SCIE),1.6,Q3,60/119
Health Services and Outcomes Research Methodology,1387-3741,1572-9400,HEALTH CARE SCIENCES & SERVICES(ESCI),1.6,Q3,128/185
JOURNAL OF EDUCATIONAL MEASUREMENT,0022-0655,1745-3984,"PSYCHOLOGY, APPLIED(SSCI);PSYCHOLOGY, EDUCATIONAL(SSCI);PSYCHOLOGY, MATHEMATICAL(SSCI)",1.6,Q3,70/115
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,0264-6838,1469-672X,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",1.6,Q2,103/221
Proteome Science,N/A,1477-5956,BIOCHEMICAL RESEARCH METHODS(SCIE),1.6,Q4,71/86
SCANDINAVIAN JOURNAL OF ECONOMICS,0347-0520,1467-9442,ECONOMICS(SSCI),1.6,Q2,276/617
Telemedicine Reports,N/A,2692-4366,HEALTH CARE SCIENCES & SERVICES(ESCI),1.6,Q3,128/185
Cardiovascular Ultrasound,N/A,1476-7120,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),1.6,Q3,146/230
Proceedings of the Institution of Civil Engineers-Urban Design and Planning,1755-0793,1755-0807,URBAN STUDIES(ESCI),1.6,Q3,47/76
Surgical Innovation,1553-3506,1553-3514,SURGERY(SCIE),1.6,Q2,156/312
Holistic Nursing Practice,0887-9311,1550-5138,"INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE);NURSING(SCIE, SSCI)",1.6,Q2,93/192
Hong Kong Journal of Occupational Therapy,1569-1861,1876-4398,REHABILITATION(SCIE),1.6,Q2,75/173
Oceans-Switzerland,N/A,2673-1924,MARINE & FRESHWATER BIOLOGY(ESCI);OCEANOGRAPHY(ESCI),1.6,Q3,60/119
AERONAUTICAL JOURNAL,0001-9240,2059-6464,"ENGINEERING, AEROSPACE(SCIE)",1.6,Q2,24/55
BEHAVIOURAL PHARMACOLOGY,0955-8810,1473-5849,BEHAVIORAL SCIENCES(SCIE);NEUROSCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE),1.6,Q4,43/57
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,0008-400X,1879-2669,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",1.6,Q2,103/221
European Journal of Political Theory,1474-8851,1741-2730,POLITICAL SCIENCE(ESCI),1.6,Q2,134/322
Frontiers of Earth Science,2095-0195,2095-0209,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",1.6,Q3,169/258
Journal of Mental Health Policy and Economics,1091-4358,1099-176X,HEALTH POLICY & SERVICES(SSCI);PSYCHIATRY(SSCI),1.6,Q3,194/288
Plant Ecology & Diversity,1755-0874,1755-1668,PLANT SCIENCES(SCIE),1.6,Q3,139/273
Polar Geography,1088-937X,1939-0513,"GEOGRAPHY, PHYSICAL(ESCI)",1.6,Q3,49/67
RELIEVE-Revista Electronica de Investigacion y Evaluacion Educativa,1134-4032,1134-4032,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
SPECTROSCOPY LETTERS,0038-7010,1532-2289,SPECTROSCOPY(SCIE),1.6,Q3,28/44
Biomedical Physics & Engineering Express,2057-1976,2057-1976,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)",1.6,Q3,133/212
BMJ Open Quality,N/A,2399-6641,"HEALTH CARE SCIENCES & SERVICES(ESCI);MEDICINE, GENERAL & INTERNAL(ESCI)",1.6,Q2,124/332
ENTOMOLOGICAL RESEARCH,1738-2297,1748-5967,ENTOMOLOGY(SCIE),1.6,Q2,41/110
JBJS Essential Surgical Techniques,2160-2204,2160-2204,SURGERY(ESCI),1.6,Q2,156/312
Journal of Dance Medicine & Science,1089-313X,2374-8060,SPORT SCIENCES(ESCI),1.6,Q3,74/133
Osong Public Health and Research Perspectives,2210-9099,2233-6052,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",1.6,Q3,277/419
Visceral Medicine,2297-4725,2297-475X,GASTROENTEROLOGY & HEPATOLOGY(SCIE);SURGERY(SCIE),1.6,Q2,156/312
BIOLOGICAL AGRICULTURE & HORTICULTURE,0144-8765,2165-0616,AGRONOMY(SCIE);HORTICULTURE(SCIE),1.6,Q2,22/45
EUROPEAN JOURNAL OF PROTISTOLOGY,0932-4739,1618-0429,MICROBIOLOGY(SCIE),1.6,Q4,137/163
INTERNATIONAL JOURNAL OF MODERN PHYSICS C,0129-1831,1793-6586,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);PHYSICS, MATHEMATICAL(SCIE)",1.6,Q2,25/61
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,0021-8308,1468-5914,"PSYCHOLOGY, SOCIAL(SSCI)",1.6,Q3,56/78
Journal of Chinese Economic and Foreign Trade Studies,1754-4408,1754-4416,ECONOMICS(ESCI),1.6,Q2,276/617
Middle East Current Psychiatry-MECPsych,N/A,2090-5416,PSYCHIATRY(ESCI),1.6,Q3,194/288
Open Agriculture,2391-9531,2391-9531,"AGRICULTURE, MULTIDISCIPLINARY(ESCI)",1.6,Q2,38/94
Public Library Quarterly,0161-6846,1541-1540,INFORMATION SCIENCE & LIBRARY SCIENCE(ESCI),1.6,Q2,71/166
CONGENITAL ANOMALIES,0914-3505,1741-4520,PEDIATRICS(SCIE),1.6,Q2,91/191
ECONOMICA,0013-0427,1468-0335,ECONOMICS(SSCI),1.6,Q2,276/617
FOLIA NEUROPATHOLOGICA,1641-4640,1509-572X,NEUROSCIENCES(SCIE);PATHOLOGY(SCIE),1.6,Q3,56/90
HORTSCIENCE,0018-5345,2327-9834,HORTICULTURE(SCIE),1.6,Q2,22/45
JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS,1108-7161,N/A,NEUROSCIENCES(SCIE);PHYSIOLOGY(SCIE),1.6,Q4,71/87
Journal of Public Health-Heidelberg,2198-1833,1613-2238,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",1.6,Q3,277/419
Local Economy,0269-0942,1470-9325,ECONOMICS(ESCI),1.6,Q2,276/617
PHOTOSYNTHETICA,0300-3604,1573-9058,PLANT SCIENCES(SCIE),1.6,Q3,139/273
Revista de Contabilidad-Spanish Accounting Review,1138-4891,1988-4672,"BUSINESS, FINANCE(SSCI)",1.6,Q3,133/241
Revista Portuguesa de Cardiologia,0870-2551,0304-4750,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),1.6,Q3,146/230
World Journal of Engineering,1708-5284,1708-5284,"ENGINEERING, MULTIDISCIPLINARY(ESCI)",1.6,Q2,79/175
AUSTRAL ECOLOGY,1442-9985,1442-9993,ECOLOGY(SCIE),1.6,Q3,134/200
AUSTRALIAN SYSTEMATIC BOTANY,1030-1887,1446-5701,EVOLUTIONARY BIOLOGY(SCIE);PLANT SCIENCES(SCIE),1.6,Q3,139/273
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,1196-1961,1878-7290,"PSYCHOLOGY, EXPERIMENTAL(SSCI)",1.6,Q3,70/102
Clinical and Translational Imaging,2281-5872,2281-7565,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",1.6,Q3,133/212
EXPERIMENTAL BRAIN RESEARCH,0014-4819,1432-1106,NEUROSCIENCES(SCIE),1.6,Q4,262/314
IRISH JOURNAL OF MEDICAL SCIENCE,0021-1265,1863-4362,"MEDICINE, GENERAL & INTERNAL(SCIE)",1.6,Q2,124/332
JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,0026-1165,2186-9057,METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE),1.6,Q4,91/111
Spatial Cognition and Computation,1387-5868,1542-7633,"PSYCHOLOGY, EXPERIMENTAL(SSCI)",1.6,Q3,70/102
Dental Hypotheses,2155-8213,2155-8213,"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)",1.6,Q3,97/162
Discover Psychology,N/A,2731-4537,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",1.6,Q2,103/221
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,0924-6703,1573-7594,"AUTOMATION & CONTROL SYSTEMS(SCIE);MATHEMATICS, APPLIED(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",1.6,Q2,98/343
European Actuarial Journal,2190-9733,2190-9741,"BUSINESS, FINANCE(ESCI);STATISTICS & PROBABILITY(ESCI)",1.6,Q2,51/167
INDUSTRIAL HEALTH,0019-8366,1880-8026,"ENVIRONMENTAL SCIENCES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE);TOXICOLOGY(SCIE)",1.6,Q3,277/419
International Journal of Computational Methods,0219-8762,1793-6969,"ENGINEERING, MULTIDISCIPLINARY(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE)",1.6,Q2,79/175
JOURNAL OF CLINICAL DENSITOMETRY,1094-6950,1559-0747,ENDOCRINOLOGY & METABOLISM(SCIE),1.6,Q4,158/191
Ultrasound International Open,2509-596X,2199-7152,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)",1.6,Q3,133/212
CELLULAR MICROBIOLOGY,1462-5814,1462-5822,CELL BIOLOGY(SCIE);MICROBIOLOGY(SCIE),1.6,Q4,137/163
JOURNAL OF AEROSPACE ENGINEERING,0893-1321,1943-5525,"ENGINEERING, AEROSPACE(SCIE);ENGINEERING, CIVIL(SCIE)",1.6,Q2,24/55
JOURNAL OF COMPUTATIONAL BIOLOGY,1066-5277,1557-8666,"BIOCHEMICAL RESEARCH METHODS(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE);STATISTICS & PROBABILITY(SCIE)",1.6,Q2,51/167
JOURNAL OF OCEANOGRAPHY,0916-8370,1573-868X,OCEANOGRAPHY(SCIE),1.6,Q3,41/65
JOURNAL OF TURBULENCE,1468-5248,1468-5248,"MECHANICS(SCIE);PHYSICS, FLUIDS & PLASMAS(SCIE)",1.6,Q3,28/41
LIMNOLOGY,1439-8621,1439-863X,LIMNOLOGY(SCIE),1.6,Q3,46012
PLANT SYSTEMATICS AND EVOLUTION,0378-2697,1615-6110,EVOLUTIONARY BIOLOGY(SCIE);PLANT SCIENCES(SCIE),1.6,Q3,139/273
RESTORATIVE NEUROLOGY AND NEUROSCIENCE,0922-6028,1878-3627,NEUROSCIENCES(SCIE),1.6,Q4,262/314
Annals of Medicine and Surgery,2049-0801,2049-0801,"MEDICINE, GENERAL & INTERNAL(ESCI)",1.6,Q2,124/332
Asian Pacific Journal of Tropical Medicine,1995-7645,2352-4146,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE);TROPICAL MEDICINE(SCIE)",1.6,Q3,18/28
CANADIAN JOURNAL OF EARTH SCIENCES,0008-4077,1480-3313,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",1.6,Q3,169/258
DEFENCE AND PEACE ECONOMICS,1024-2694,1476-8267,ECONOMICS(SSCI),1.6,Q2,276/617
Dementia and Geriatric Cognitive Disorders Extra,N/A,1664-5464,CLINICAL NEUROLOGY(ESCI),1.6,Q3,210/285
Hematology,1024-5332,1607-8454,HEMATOLOGY(SCIE),1.6,Q3,67/98
Journal of Place Management and Development,1753-8335,1753-8343,"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)",1.6,Q3,81/139
MODERN PHYSICS LETTERS A,0217-7323,1793-6632,"ASTRONOMY & ASTROPHYSICS(SCIE);PHYSICS, MATHEMATICAL(SCIE);PHYSICS, NUCLEAR(SCIE);PHYSICS, PARTICLES & FIELDS(SCIE)",1.6,Q2,25/61
Australasian Journal of Information Systems,1449-8618,1326-2238,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",1.6,Q3,181/258
BIOLOGIA,0006-3088,1336-9563,BIOLOGY(SCIE),1.6,Q3,57/107
Discrete Optimization,1572-5286,1873-636X,"MATHEMATICS, APPLIED(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",1.6,Q2,98/343
Engineering Research Express,2631-8695,2631-8695,"ENGINEERING, MULTIDISCIPLINARY(ESCI)",1.6,Q2,79/175
International Review of Applied Economics,0269-2171,1465-3486,ECONOMICS(ESCI),1.6,Q2,276/617
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,1536-2310,1557-8100,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE),1.6,Q3,141/191
Open Medicine,2391-5463,2391-5463,"MEDICINE, GENERAL & INTERNAL(SCIE)",1.6,Q2,124/332
BIOCHEMICAL GENETICS,0006-2928,1573-4927,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE),1.6,Q3,141/191
Birth Defects Research,2472-1727,2472-1727,DEVELOPMENTAL BIOLOGY(SCIE);TOXICOLOGY(SCIE),1.6,Q3,29/39
GMS Hygiene and Infection Control,2196-5226,2196-5226,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",1.6,Q3,277/419
Journal of Convention & Event Tourism,1547-0148,1547-0156,"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)",1.6,Q3,81/139
Organic Communications,1307-6175,1307-6175,"CHEMISTRY, ORGANIC(ESCI)",1.6,Q3,36/57
PHYSICAL BIOLOGY,1478-3967,1478-3975,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOPHYSICS(SCIE),1.6,Q4,61/79
Pilot and Feasibility Studies,N/A,2055-5784,"MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)",1.6,Q3,142/195
Psychology in Russia-State of the Art,2074-6857,2307-2202,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",1.6,Q2,103/221
Sao Paulo Medical Journal,1516-3180,N/A,"MEDICINE, GENERAL & INTERNAL(SCIE)",1.6,Q2,124/332
UPSALA JOURNAL OF MEDICAL SCIENCES,0300-9734,2000-1967,"MEDICINE, GENERAL & INTERNAL(SCIE)",1.6,Q2,124/332
VOX SANGUINIS,N/A,1423-0410,HEMATOLOGY(SCIE),1.6,Q3,67/98
Autex Research Journal,1470-9589,2300-0929,"MATERIALS SCIENCE, TEXTILES(SCIE)",1.6,Q3,16/31
IET Optoelectronics,1751-8768,1751-8776,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);OPTICS(SCIE);TELECOMMUNICATIONS(SCIE)",1.6,Q3,87/125
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,0736-5748,1873-474X,DEVELOPMENTAL BIOLOGY(SCIE);NEUROSCIENCES(SCIE),1.6,Q3,29/39
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,0733-950X,1943-5460,"ENGINEERING, CIVIL(SCIE);ENGINEERING, OCEAN(SCIE);WATER RESOURCES(SCIE)",1.6,Q3,116/183
LAND ECONOMICS,0023-7639,1543-8325,ECONOMICS(SSCI);ENVIRONMENTAL STUDIES(SSCI),1.6,Q2,276/617
North American Actuarial Journal,1092-0277,2325-0453,"BUSINESS, FINANCE(ESCI)",1.6,Q3,133/241
POLAR BIOLOGY,0722-4060,1432-2056,BIODIVERSITY CONSERVATION(SCIE);ECOLOGY(SCIE),1.6,Q3,39/73
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,0004-1254,1848-6312,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE);TOXICOLOGY(SCIE)",1.6,Q3,277/419
ECONOMIC DEVELOPMENT QUARTERLY,0891-2424,1552-3543,DEVELOPMENT STUDIES(SSCI);ECONOMICS(SSCI);URBAN STUDIES(SSCI),1.6,Q2,276/617
Economics and Business Review,2392-1641,2450-0097,ECONOMICS(ESCI),1.6,Q2,276/617
Frontiers in Research Metrics and Analytics,N/A,2504-0537,INFORMATION SCIENCE & LIBRARY SCIENCE(ESCI),1.6,Q2,71/166
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,1094-6969,1941-0123,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);INSTRUMENTS & INSTRUMENTATION(SCIE)",1.6,Q3,54/79
Journal of Business Analytics,2573-234X,2573-2358,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(ESCI)",1.6,Q3,71/106
JOURNAL OF MONEY CREDIT AND BANKING,0022-2879,1538-4616,"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)",1.6,Q2,276/617
Multidisciplinary Respiratory Medicine,1828-695X,2049-6958,RESPIRATORY SYSTEM(ESCI),1.6,Q3,76/108
Plant Physiology Reports,2662-253X,2662-2548,PLANT SCIENCES(ESCI),1.6,Q3,139/273
Polish Journal of Microbiology,1733-1331,2544-4646,MICROBIOLOGY(SCIE),1.6,Q4,137/163
Stroke Research and Treatment,2090-8105,2042-0056,PERIPHERAL VASCULAR DISEASE(ESCI),1.6,Q3,70/98
Vibration,N/A,2571-631X,"ENGINEERING, MECHANICAL(ESCI);MECHANICS(ESCI)",1.6,Q3,122/182
ACTA OPTICA SINICA,0253-2239,0253-2239,OPTICS(ESCI),1.6,Q3,87/125
Communicable Diseases Intelligence,N/A,2209-6051,INFECTIOUS DISEASES(ESCI),1.6,Q4,106/137
CURRENT GENETICS,0172-8083,1432-0983,GENETICS & HEREDITY(SCIE),1.6,Q3,141/191
Journal of Industrial and Management Optimization,1547-5816,1553-166X,"ENGINEERING, MULTIDISCIPLINARY(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",1.6,Q2,79/175
Molecular Genetics & Genomic Medicine,2324-9269,2324-9269,GENETICS & HEREDITY(SCIE),1.6,Q3,141/191
Musculoskeletal Care,1478-2189,1557-0681,RHEUMATOLOGY(ESCI),1.6,Q3,41/58
Open Access Journal of Sports Medicine,1179-1543,1179-1543,SPORT SCIENCES(ESCI),1.6,Q3,74/133
Urban Water Journal,1573-062X,1744-9006,WATER RESOURCES(SCIE),1.6,Q3,96/131
American Journal of Translational Research,1943-8141,1943-8141,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);ONCOLOGY(SCIE)",1.6,Q3,142/195
CANADIAN JOURNAL OF MICROBIOLOGY,0008-4166,1480-3275,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MICROBIOLOGY(SCIE),1.6,Q4,142/177
INDIAN JOURNAL OF MICROBIOLOGY,0046-8991,0973-7715,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MICROBIOLOGY(SCIE),1.6,Q4,142/177
INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,0098-9886,1097-007X,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",1.6,Q3,258/366
Iraqi Journal of Agricultural Sciences,0075-0530,2410-0862,"AGRICULTURE, MULTIDISCIPLINARY(ESCI)",1.6,Q2,38/94
JOURNAL OF IMMUNOLOGICAL METHODS,0022-1759,1872-7905,BIOCHEMICAL RESEARCH METHODS(SCIE);IMMUNOLOGY(SCIE),1.6,Q4,71/86
JOURNAL OF THE AUDIO ENGINEERING SOCIETY,1549-4950,1549-4950,"ACOUSTICS(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE)",1.6,Q2,79/175
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,0040-8727,1349-3329,"MEDICINE, GENERAL & INTERNAL(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",1.6,Q2,124/332
BIOLOGICAL CYBERNETICS,0340-1200,1432-0770,"COMPUTER SCIENCE, CYBERNETICS(SCIE);NEUROSCIENCES(SCIE)",1.6,Q3,23/31
GeoHazards,N/A,2624-795X,"GEOSCIENCES, MULTIDISCIPLINARY(ESCI)",1.6,Q3,169/258
Journal of Diabetes and Metabolic Disorders,N/A,2251-6581,ENDOCRINOLOGY & METABOLISM(ESCI),1.6,Q4,158/191
Near Surface Geophysics,1569-4445,1873-0604,GEOCHEMISTRY & GEOPHYSICS(SCIE),1.6,Q3,59/100
