期刊缩写,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score,JCR分区,2019年文章数,出版国家,出版周期
Wirel Netw,WIRELESS NETWORKS,3680,2.659,0.0043,Q2,343,荷兰,双月刊
Adv Inorg Chem,Advances in Inorganic Chemistry,1202,2.658,0.00053,Q2,21,美国,年刊
J Polit,JOURNAL OF POLITICS,8136,2.658,0.01723,Q1,144,,
Front Energy,Frontiers in Energy,689,2.657,0.00103,Q3,67,,
Radiat Res,RADIATION RESEARCH,8707,2.657,0.00535,Q2,112,美国,月刊
Attach Hum Dev,ATTACHMENT & HUMAN DEVELOPMENT,2022,2.656,0.0019,Q2,36,,
Biomed Environ Sci,BIOMEDICAL AND ENVIRONMENTAL SCIENCES,2301,2.656,0.00242,Q2,66,英国,双月刊
Fungal Ecol,Fungal Ecology,2746,2.656,0.00599,Q2/Q3,115,英国,季刊
J Nurs Scholarship,JOURNAL OF NURSING SCHOLARSHIP,3029,2.655,0.00338,Q1,73,美国,季刊
Med Teach,MEDICAL TEACHER,8633,2.654,0.00942,Q1/Q2,181,英国,双月刊
Neurosurg Rev,NEUROSURGICAL REVIEW,2762,2.654,0.00341,Q2,101,德国,季刊
Oecologia,OECOLOGIA,32699,2.654,0.01924,Q2,260,德国,双月刊
Plan Theory Pract,Planning Theory & Practice,1195,2.654,0.00103,Q2,27,,
J Toxicol Env Heal A,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,4117,2.653,0.00288,Q2/Q3,91,美国,双月刊
J Asian Ceram Soc,Journal of Asian Ceramic Societies,1181,2.653,0.0019,Q1,58,,
J Mech Design,JOURNAL OF MECHANICAL DESIGN,7510,2.652,0.00519,Q2,147,美国,月刊
Neuropsychologia,NEUROPSYCHOLOGIA,25071,2.652,0.02663,Q2/Q3,344,英国,月刊
Regul Toxicol Pharm,REGULATORY TOXICOLOGY AND PHARMACOLOGY,6858,2.652,0.0086,Q1/Q3,211,美国,月刊
Subst Abus,Substance Abuse,1595,2.652,0.00454,Q2/Q3,65,美国,
Basic Clin Pharmacol,BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,4750,2.651,0.00562,Q3,135,英国,月刊
Ann Stat,ANNALS OF STATISTICS,21466,2.65,0.02713,Q1,121,美国,双月刊
Diam Relat Mater,DIAMOND AND RELATED MATERIALS,9078,2.65,0.00583,Q2,310,荷兰,双月刊
Geopolitics,Geopolitics,1312,2.65,0.00172,Q1/Q2,38,,
Front Neuroinform,Frontiers in Neuroinformatics,2571,2.649,0.00705,Q1/Q3,72,瑞士,
J Aerosol Sci,JOURNAL OF AEROSOL SCIENCE,7215,2.649,0.00459,Q2,105,英国,月刊
J Dev Econ,JOURNAL OF DEVELOPMENT ECONOMICS,9238,2.649,0.01435,Q1,88,,
Sport Educ Soc,SPORT EDUCATION AND SOCIETY,2007,2.649,0.00181,Q1/Q2,73,英国,季刊
Punishm Soc,PUNISHMENT & SOCIETY-INTERNATIONAL JOURNAL OF PENOLOGY,946,2.648,0.00157,Q1,28,,
Clin Breast Cancer,Clinical Breast Cancer,2687,2.647,0.0056,Q3,139,美国,双月刊
Lang Teach Res,Language Teaching Research,1412,2.647,0.00206,Q1,35,,
Sport Exerc Perform,Sport Exercise and Performance Psychology,486,2.647,0.00125,Q2,24,,
Aquacult Econ Manag,AQUACULTURE ECONOMICS & MANAGEMENT,625,2.646,0.00082,Q1,22,英国,
Int J Pavement Eng,International Journal of Pavement Engineering,2342,2.646,0.00314,Q2,137,英国,双月刊
J Solid State Electr,JOURNAL OF SOLID STATE ELECTROCHEMISTRY,8926,2.646,0.00842,Q3,319,德国,双月刊
Roy Soc Open Sci,Royal Society Open Science,7221,2.646,0.0274,Q2,692,,
Spine,SPINE,44797,2.646,0.0263,Q2,400,美国,双月刊
Wind Energy,WIND ENERGY,4425,2.646,0.00557,Q2/Q3,125,英国,季刊
Neurosci Res,NEUROSCIENCE RESEARCH,4876,2.645,0.00528,Q3,95,荷兰,月刊
Psychol Psychother-T,PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,1290,2.645,0.00166,Q2,30,英国,季刊
Symmetry-Basel,Symmetry-Basel,4888,2.645,0.00541,Q2,1517,瑞士,
Clin Exp Med,CLINICAL AND EXPERIMENTAL MEDICINE,1340,2.644,0.00208,Q3,61,意大利,季刊
J Conflict Resolut,JOURNAL OF CONFLICT RESOLUTION,5132,2.644,0.00974,Q1,89,,
J Physiol Pharmacol,JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,3342,2.644,0.00274,Q2,68,波兰,季刊
J Comput Sci-Neth,Journal of Computational Science,2157,2.644,0.00434,Q2,110,荷兰,
Neobiota,NeoBiota,455,2.643,0.00085,Q1/Q2,60,,
Comput Assist Lang L,Computer Assisted Language Learning,1305,2.642,0.00157,Q1,37,,
Oncology-Basel,ONCOLOGY,4082,2.642,0.00376,Q3,85,瑞士,双月刊
Eur J Clin Pharmacol,EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,7802,2.641,0.0082,Q3,172,德国,月刊
Hydrogeol J,HYDROGEOLOGY JOURNAL,6775,2.641,0.00572,Q2,194,德国,双月刊
Transnatl Environ la,Transnational Environmental Law,240,2.641,0.00053,Q1/Q2,13,,
EJNMMI Res,EJNMMI Research,1558,2.64,0.00392,Q2,109,德国,
Biol Trace Elem Res,BIOLOGICAL TRACE ELEMENT RESEARCH,9470,2.639,0.00761,Q3,331,美国,双月刊
Aquacult Eng,AQUACULTURAL ENGINEERING,2517,2.638,0.0013,Q1/Q2,28,荷兰,双月刊
Chinese J Phys,CHINESE JOURNAL OF PHYSICS,2258,2.638,0.003,Q2,283,中国台湾,双月刊
Front Phys-Lausanne,Frontiers in Physics,1203,2.638,0.00438,Q2,215,,
J Eng Educ,JOURNAL OF ENGINEERING EDUCATION,2659,2.638,0.00119,Q1/Q2,24,美国,季刊
Zool Res,ZOOLOGICAL RESEARCH,836,2.638,0.00118,Q1,37,,
Def Technol,Defence Technology,901,2.637,0.00135,Q2,110,,
Integr Comp Biol,INTEGRATIVE AND COMPARATIVE BIOLOGY,5715,2.637,0.00706,Q1,138,美国,双月刊
Soil Dyn Earthq Eng,SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,9338,2.637,0.01167,Q2,474,英国,双月刊
J Occup Organ Psych,JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,4690,2.636,0.00354,Q2,42,,
J Math Psychol,JOURNAL OF MATHEMATICAL PSYCHOLOGY,3063,2.635,0.00383,Q1,53,美国,双月刊
Sociol Sport J,SOCIOLOGY OF SPORT JOURNAL,1346,2.635,0.00081,Q1/Q2,30,美国,季刊
Support Care Cancer,SUPPORTIVE CARE IN CANCER,12842,2.635,0.02169,Q1/Q2/Q3,490,美国,双月刊
Front Pediatr,Frontiers in Pediatrics,2922,2.634,0.00938,Q1,521,,
J Biomol NMR,JOURNAL OF BIOMOLECULAR NMR,4793,2.634,0.00437,Q2/Q3,64,荷兰,月刊
Int J Adv Manuf Tech,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,36831,2.633,0.03686,Q2/Q3,1859,英国,双月刊
Brit J Criminol,BRITISH JOURNAL OF CRIMINOLOGY,3453,2.632,0.00368,Q1,72,,
Cell Biochem Funct,CELL BIOCHEMISTRY AND FUNCTION,2430,2.632,0.0021,Q3,64,英国,季刊
Curr Drug Targets,CURRENT DRUG TARGETS,5515,2.632,0.00537,Q3,134,荷兰,双月刊
Neuroimag Clin N Am,NEUROIMAGING CLINICS OF NORTH AMERICA,1191,2.632,0.00165,Q2/Q3,42,美国,季刊
Psicothema,PSICOTHEMA,3426,2.632,0.00251,Q1,61,,
Energy Sci Eng,Energy Science & Engineering,899,2.631,0.00164,Q3,228,,
Int J Psychophysiol,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,8822,2.631,0.00945,Q2/Q3,132,荷兰,月刊
J Eur Soc Policy,JOURNAL OF EUROPEAN SOCIAL POLICY,1975,2.631,0.00267,Q1/Q2,44,,
Malaria J,MALARIA JOURNAL,13037,2.631,0.02854,Q1/Q2/Q3,431,美国,不定期
Curr Genomics,CURRENT GENOMICS,2190,2.63,0.00207,Q3,52,荷兰,双月刊
Curr Opin Pulm Med,CURRENT OPINION IN PULMONARY MEDICINE,2670,2.63,0.00385,Q3,87,美国,双月刊
Int Rev Psychiatr,INTERNATIONAL REVIEW OF PSYCHIATRY,2999,2.63,0.00445,Q2,59,,
Neural Dev,Neural Development,969,2.63,0.00161,Q2/Q3,12,英国,月刊
Rev Psiquiatr Salud,Revista de Psiquiatria y Salud Mental,419,2.63,0.00063,Q2,19,西班牙,
Data Min Knowl Disc,DATA MINING AND KNOWLEDGE DISCOVERY,3566,2.629,0.00354,Q2,58,荷兰,双月刊
Neuromol Med,NEUROMOLECULAR MEDICINE,1909,2.629,0.00221,Q3,47,美国,季刊
Condor,CONDOR,4856,2.628,0.00284,Q1,55,美国,季刊
Chinese J Chem Eng,CHINESE JOURNAL OF CHEMICAL ENGINEERING,4874,2.627,0.00569,Q2,305,中国,双月刊
Int J Wildland Fire,INTERNATIONAL JOURNAL OF WILDLAND FIRE,4658,2.627,0.00443,Q1,83,澳大利亚,季刊
Int Rev Neurobiol,International Review of Neurobiology,2745,2.627,0.00363,Q3,39,美国,不定期
J Therm Stresses,JOURNAL OF THERMAL STRESSES,2653,2.626,0.00237,Q2,88,美国,月刊
Bus Ethics Q,BUSINESS ETHICS QUARTERLY,2296,2.625,0.00119,Q1/Q2,16,,
J Magn Reson,JOURNAL OF MAGNETIC RESONANCE,11924,2.624,0.00934,Q2/Q3,215,美国,月刊
Ophthal Physl Opt,OPHTHALMIC AND PHYSIOLOGICAL OPTICS,2968,2.624,0.0039,Q2,40,英国,双月刊
Qual Health Res,QUALITATIVE HEALTH RESEARCH,10153,2.623,0.00867,Q1/Q2,165,,
Beilstein J Org Chem,Beilstein Journal of Organic Chemistry,5874,2.622,0.00953,Q2,290,德国,双月刊
J Nat Fibers,Journal of Natural Fibers,1064,2.622,0.00101,Q1,104,美国,
Life Sci Alliance,Life Science Alliance,310,2.622,0.00105,Q2,146,,
Immunogenetics,IMMUNOGENETICS,3277,2.621,0.00279,Q3,56,德国,月刊
Nano Commun Netw,Nano Communication Networks,517,2.621,0.00061,Q2/Q3,29,,
Struct Infrastruct E,Structure and Infrastructure Engineering,2406,2.62,0.00394,Q2,115,英国,季刊
Eur J Oral Implantol,European Journal of Oral Implantology,1227,2.619,0.00223,Q1,29,英国,
Hum Vacc Immunother,Human Vaccines & Immunotherapeutics,6675,2.619,0.01971,Q2/Q3,350,美国,
Organization,ORGANIZATION,3490,2.619,0.00346,Q2,47,,
Environ Policy Gov,Environmental Policy and Governance,1018,2.618,0.00142,Q2,30,,
Phys Educ Sport Peda,Physical Education and Sport Pedagogy,1441,2.618,0.00151,Q1,43,,
Area,AREA,2785,2.617,0.00328,Q2,89,,
Funct Plant Biol,FUNCTIONAL PLANT BIOLOGY,5720,2.617,0.00442,Q2,92,澳大利亚,月刊
J Telemed Telecare,JOURNAL OF TELEMEDICINE AND TELECARE,2703,2.616,0.00343,Q2,70,英国,双月刊
Reprod Sci,Reproductive Sciences,3976,2.616,0.00766,Q2/Q3,170,美国,月刊
Clin Chim Acta,CLINICA CHIMICA ACTA,16724,2.615,0.01691,Q2,375,荷兰,月刊
Cardiovasc Diagn the,Cardiovascular Diagnosis and Therapy,1081,2.615,0.00305,Q2,98,,
T Nonferr Metal Soc,TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,11413,2.615,0.00942,Q1,265,中国,双月刊
Curr Stem Cell Res T,Current Stem Cell Research & Therapy,1335,2.614,0.00159,Q3,66,ü阿拉伯联合酋长国,
J Sci Food Agr,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,25333,2.614,0.01833,Q1/Q2,775,英国,月刊
J Biomed Semant,Journal of Biomedical Semantics,698,2.614,0.0023,Q1,25,英国,
Eur J Innov Manag,European Journal of Innovation Management,1487,2.613,0.00059,Q2,49,,
Oral Dis,ORAL DISEASES,4463,2.613,0.00509,Q1,214,丹麦,双月刊
Beilstein J Nanotech,Beilstein Journal of Nanotechnology,4872,2.612,0.00967,Q2/Q3,244,德国,
Engl Specif Purp,ENGLISH FOR SPECIFIC PURPOSES,1856,2.612,0.00118,Q1,29,,
Int J Press/Polit,International Journal of Press-Politics,970,2.612,0.00179,Q1,24,,
Int Forum Allergy Rh,International Forum of Allergy & Rhinology,2999,2.611,0.00702,Q1,165,美国,
Sociol Relig,SOCIOLOGY OF RELIGION,1017,2.611,0.00097,Q1,22,,
Astropart Phys,ASTROPARTICLE PHYSICS,3172,2.61,0.00428,Q2,53,荷兰,双月刊
Recent Pat Anti-Canc,Recent Patents on Anti-Cancer Drug Discovery,763,2.61,0.00094,Q3,26,阿拉伯联合酋长国,三年刊
Thorac Cancer,Thoracic Cancer,1726,2.61,0.0036,Q3,265,中国,
Vision Res,VISION RESEARCH,15459,2.61,0.00882,Q2/Q3,149,英国,双周刊
Geophysics,GEOPHYSICS,26029,2.609,0.01993,Q2,423,美国,双月刊
Tissue Eng Part C-Me,Tissue Engineering Part C-Methods,3145,2.608,0.00412,Q2/Q3/Q4,70,,季刊
Ann Nucl Med,ANNALS OF NUCLEAR MEDICINE,2289,2.607,0.00282,Q2,106,日本,双月刊
Commun Comput Phys,Communications in Computational Physics,2943,2.607,0.00647,Q1,124,中国,月刊
Patient Educ Couns,PATIENT EDUCATION AND COUNSELING,13253,2.607,0.01551,Q1/Q2,276,爱尔兰,月刊
Deep-Sea Res Pt I,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,8017,2.606,0.00845,Q2,122,美国,月刊
High Power Laser Sci,High Power Laser Science and Engineering,616,2.606,0.00193,Q2,64,,
Learn Publ,LEARNED PUBLISHING,667,2.606,0.00084,Q2,40,,
Brit J Philos Sci,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,1758,2.605,0.00237,Q1,46,英国,季刊
Rheol Acta,RHEOLOGICA ACTA,4334,2.604,0.0032,Q2,56,德国,双月刊
Ucla Law Rev,UCLA LAW REVIEW,1417,2.604,0.00168,Q1,20,,
Agronomy-Basel,Agronomy-Basel,2209,2.603,0.00327,Q1/Q2,886,,
Cognitive Ther Res,COGNITIVE THERAPY AND RESEARCH,5069,2.603,0.00468,Q2,95,,
Zool Scr,ZOOLOGICA SCRIPTA,2402,2.603,0.00302,Q1/Q2,57,英国,双月刊
Biomass Convers Bior,Biomass Conversion and Biorefinery,745,2.602,0.00124,Q2/Q3,67,,
B Earthq Eng,Bulletin of Earthquake Engineering,4250,2.602,0.00899,Q2,251,荷兰,季刊
Food Addit Contam B,Food Additives & Contaminants Part B-Surveillance,973,2.602,0.00128,Q2/Q3,23,英国,
Mobile Netw Appl,MOBILE NETWORKS & APPLICATIONS,2281,2.602,0.00265,Q2,168,荷兰,季刊
Networks,NETWORKS,2518,2.602,0.00299,Q2,50,美国,双月刊
Environ Plan C-Polit,Environment and Planning C-Politics and Space,2679,2.601,0.00384,Q2,76,,
Foodborne Pathog Dis,Foodborne Pathogens and Disease,3784,2.601,0.0048,Q2,82,美国,季刊
Basic Clin Androl,Basic and Clinical Andrology,197,2.6,0.00054,Q1,18,,
Cancer Microenviron,Cancer Microenvironment,736,2.6,0.00083,Q3,15,,
Eur J Inform Syst,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,3319,2.6,0.00276,Q2,31,英国,双月刊
IEEE T Parall Distr,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,9003,2.6,0.01567,Q2,200,美国,月刊
J Phonetics,JOURNAL OF PHONETICS,2942,2.6,0.00241,Q1,51,,
J Phys Chem A,JOURNAL OF PHYSICAL CHEMISTRY A,59525,2.6,0.04472,Q2/Q3,1097,美国,周刊
Plan Theor,Planning Theory,1299,2.6,0.00111,Q2,23,,
Rev Account Stud,REVIEW OF ACCOUNTING STUDIES,2555,2.6,0.00506,Q1,40,,
Clin Rehabil,CLINICAL REHABILITATION,6512,2.599,0.0071,Q1,175,英国,双月刊
Clin Lab Med,CLINICS IN LABORATORY MEDICINE,1355,2.598,0.00229,Q2,49,美国,季刊
J Cardiovasc Pharm,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,5340,2.598,0.00382,Q2/Q3,109,美国,月刊
Regen Med,Regenerative Medicine,2030,2.598,0.00273,Q2/Q4,68,,
J Sport Sci,JOURNAL OF SPORTS SCIENCES,13266,2.597,0.01464,Q2,338,英国,双月刊
Nurs Ethics,NURSING ETHICS,2862,2.597,0.00203,Q1,201,英国,双月刊
Anal Methods-UK,Analytical Methods,15487,2.596,0.02628,Q2,704,英国,月刊
Va Law Rev,VIRGINIA LAW REVIEW,2231,2.596,0.00208,Q1,31,,
Int J Equity Health,International Journal for Equity in Health,4063,2.595,0.00981,Q1,199,,
Pediatr Rheumatol,Pediatric Rheumatology,1385,2.595,0.00385,Q1/Q3,84,英国,不定期
Psychol Trauma-US,Psychological Trauma-Theory Research Practice and Policy,2371,2.595,0.00566,Q2,111,,
Database-Oxford,Database-The Journal of Biological Databases and Curation,3525,2.593,0.01115,Q2,130,英国,
IEEE T Thz Sci Techn,IEEE Transactions on Terahertz Science and Technology,2313,2.593,0.00484,Q2,74,美国,
Endocr Connect,Endocrine Connections,1376,2.592,0.00388,Q3,183,,
J Soc Policy,JOURNAL OF SOCIAL POLICY,1757,2.592,0.00209,Q1/Q2,39,,
J Occup Med Toxicol,Journal of Occupational Medicine and Toxicology,1066,2.592,0.00115,Q2,28,英国,
Dysphagia,DYSPHAGIA,3786,2.591,0.00397,Q1,81,美国,季刊
Popul Space Place,Population Space and Place,1941,2.591,0.0031,Q1/Q2,86,,
Arch Pharm,ARCHIV DER PHARMAZIE,2953,2.59,0.00181,Q2/Q3,100,德国,月刊
Prod Oper Manag,PRODUCTION AND OPERATIONS MANAGEMENT,6238,2.59,0.01152,Q2/Q3,158,美国,双月刊
IEEE Software,IEEE SOFTWARE,2675,2.589,0.00303,Q2,54,美国,双月刊
Int J Geomech,International Journal of Geomechanics,4441,2.589,0.00765,Q2,186,美国,
Annu Rev Law Soc Sci,Annual Review of Law and Social Science,909,2.588,0.00185,Q1,30,,
J Electroceram,JOURNAL OF ELECTROCERAMICS,2909,2.588,0.00134,Q1,36,荷兰,双月刊
Electrocatalysis-US,Electrocatalysis,1190,2.587,0.00207,Q3,67,美国,
J Pediatr Psychol,JOURNAL OF PEDIATRIC PSYCHOLOGY,7050,2.587,0.00701,Q2,98,,
Updates Surg,Updates in Surgery,913,2.587,0.002,Q2,85,,
Int J Tour Res,International Journal of Tourism Research,3002,2.585,0.00175,Q2,72,,
Adv Atmos Sci,ADVANCES IN ATMOSPHERIC SCIENCES,4123,2.583,0.0064,Q2,100,中国,双月刊
Ann Oper Res,ANNALS OF OPERATIONS RESEARCH,8598,2.583,0.01089,Q2,277,荷兰,双月刊
J Plan Lit,JOURNAL OF PLANNING LITERATURE,1035,2.583,0.00085,Q2,13,,
Anim Feed Sci Tech,ANIMAL FEED SCIENCE AND TECHNOLOGY,11772,2.582,0.00911,Q1,133,荷兰,双周刊
Road Mater Pavement,Road Materials and Pavement Design,2722,2.582,0.00364,Q2,168,法国,季刊
Vehicle Syst Dyn,VEHICLE SYSTEM DYNAMICS,4897,2.581,0.00369,Q2,83,英国,月刊
Eur J Appl Physiol,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,16419,2.58,0.01215,Q2,216,德国,月刊
Palaeontogr Abt A,PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,856,2.579,0.00026,Q1,6,德国,双月刊
Virol J,Virology Journal,7116,2.579,0.01018,Q3,162,英国,不定期
Contact Lens Anterio,Contact Lens & Anterior Eye,1735,2.578,0.00228,Q2,109,荷兰,
Polym Advan Technol,POLYMERS FOR ADVANCED TECHNOLOGIES,6711,2.578,0.00507,Q2,291,英国,月刊
Geosphere,Geosphere,2990,2.577,0.00669,Q2,90,美国,双月刊
Int J Sediment Res,International Journal of Sediment Research,1238,2.577,0.00142,Q2,56,中国,季刊
JMIR MED INF,JMIR Medical Informatics,650,2.577,0.00234,Q2,107,加拿大,
Med Chem,Medicinal Chemistry,1994,2.577,0.00258,Q3,79,ü阿拉伯联合酋长国,双月刊
Opt Switch Netw,Optical Switching and Networking,499,2.577,0.00098,Q2/Q3,54,荷兰,季刊
Chembiochem,CHEMBIOCHEM,11494,2.576,0.01684,Q3,368,德国,月刊
Chinese Sociol Rev,Chinese Sociological Review,306,2.576,0.00117,Q1,21,,
J Adhesion,JOURNAL OF ADHESION,2243,2.576,0.00161,Q2,57,英国,月刊
J Int Neuropsych Soc,JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,6899,2.576,0.0065,Q2/Q3,108,美国,双月刊
Sustainability-Basel,Sustainability,35095,2.576,0.04113,Q2/Q3,7184,瑞士,
Tuberculosis,TUBERCULOSIS,3364,2.576,0.00642,Q3,94,英国,双月刊
Arch Physiol Biochem,ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,1104,2.575,0.00101,Q2/Q3,57,英国,
Appl Veg Sci,APPLIED VEGETATION SCIENCE,2202,2.574,0.00286,Q1/Q2,50,丹麦,半年刊
EJNMMI Phys,EJNMMI Physics,469,2.574,0.00159,Q2,31,,
Front Neurorobotics,Frontiers in Neurorobotics,799,2.574,0.00156,Q2/Q3,92,瑞士,
Geophys J Int,GEOPHYSICAL JOURNAL INTERNATIONAL,27398,2.574,0.0352,Q2,549,英国,月刊
Polym Int,POLYMER INTERNATIONAL,7837,2.574,0.00506,Q2,208,英国,月刊
Ann Epidemiol,ANNALS OF EPIDEMIOLOGY,6805,2.573,0.0101,Q2,129,美国,月刊
Appl Comput Harmon A,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,3232,2.573,0.00644,Q1,66,美国,双月刊
Clin Biochem,CLINICAL BIOCHEMISTRY,8644,2.573,0.00952,Q2,160,加拿大,双月刊
Expert Rev Hematol,Expert Review of Hematology,1459,2.573,0.00406,Q3,86,英国,
J Gastrointest Surg,JOURNAL OF GASTROINTESTINAL SURGERY,10471,2.573,0.01502,Q2/Q3,293,美国,双月刊
Nutr Clin Pract,NUTRITION IN CLINICAL PRACTICE,2986,2.573,0.00415,Q3,100,美国,双月刊
Aquat Conserv,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,4106,2.572,0.00523,Q1/Q2,216,英国,双月刊
Bioorg Med Chem Lett,BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,38530,2.572,0.02979,Q2/Q3,601,英国,双月刊
J Polym Environ,JOURNAL OF POLYMERS AND THE ENVIRONMENT,4631,2.572,0.00292,Q2/Q3,257,美国,季刊
Cell Biol Int,CELL BIOLOGY INTERNATIONAL,4422,2.571,0.00468,Q3,145,英国,月刊
Curr Opin Organ Tran,Current Opinion in Organ Transplantation,1962,2.571,0.00475,Q3,105,美国,季刊
J Pharm Pharmacol,JOURNAL OF PHARMACY AND PHARMACOLOGY,9518,2.571,0.00522,Q3,160,英国,月刊
J Health Serv Res Po,Journal of Health Services Research & Policy,2104,2.571,0.00197,Q1,32,,
Res Evaluat,RESEARCH EVALUATION,1496,2.571,0.00211,Q2,34,,
Am J Cardiol,AMERICAN JOURNAL OF CARDIOLOGY,35187,2.57,0.03956,Q2,589,美国,双月刊
Adv Med Sci-Poland,Advances in Medical Sciences,1084,2.57,0.00164,Q3,65,波兰,年刊
BMC Med Genomics,BMC Medical Genomics,2924,2.57,0.00644,Q3,191,英国,不定期
Conserv Physiol,Conservation Physiology,1342,2.57,0.0042,Q1/Q2,56,,
Front Zool,Frontiers in Zoology,2400,2.57,0.00437,Q1,46,英国,年刊
Child Abuse Neglect,CHILD ABUSE & NEGLECT,11799,2.569,0.01445,Q1,266,,
Adv Manuf,Advances in Manufacturing,568,2.568,0.00091,Q3,38,,
Clin Proteom,Clinical Proteomics,793,2.568,0.0017,Q3,42,英国,
BMC Genet,BMC GENETICS,4389,2.567,0.00728,Q3,101,英国,月刊
Compr Psychiat,COMPREHENSIVE PSYCHIATRY,6735,2.567,0.01004,Q2,44,美国,双月刊
Clin Psychopharm Neu,Clinical Psychopharmacology and Neuroscience,758,2.567,0.00151,Q3,62,韩国,
Dermatol Surg,DERMATOLOGIC SURGERY,8112,2.567,0.00694,Q2,167,美国,月刊
Climacteric,CLIMACTERIC,2611,2.566,0.00405,Q2,94,英国,季刊
Tribol Lett,TRIBOLOGY LETTERS,6224,2.566,0.00554,Q2,133,美国,月刊
Geogr Compass,Geography Compass,2428,2.563,0.00343,Q2,36,,
Prog Plann,PROGRESS IN PLANNING,1003,2.563,0.00057,Q2,8,,
Horm Metab Res,HORMONE AND METABOLIC RESEARCH,4500,2.562,0.00487,Q3,89,德国,月刊
Photosynthetica,PHOTOSYNTHETICA,3934,2.562,0.00285,Q2,128,捷克共和国,季刊
Environ Manage,ENVIRONMENTAL MANAGEMENT,10444,2.561,0.00752,Q2,119,美国,月刊
Int J Interact Multi,International Journal of Interactive Multimedia and Artificial Intelligence,537,2.561,0.00058,Q2,55,,
J Adv Nurs,JOURNAL OF ADVANCED NURSING,17625,2.561,0.01132,Q1,317,英国,月刊
Myrmecol News,Myrmecological News,615,2.558,0.00099,Q1,8,奥地利,不定期
Vitam Horm,Vitamins and Hormones,1853,2.557,0.0018,Q3,42,美国,不定期
Int J Sports Med,INTERNATIONAL JOURNAL OF SPORTS MEDICINE,8353,2.556,0.00711,Q2,118,德国,双月刊
Neuropsychol Rehabil,NEUROPSYCHOLOGICAL REHABILITATION,2263,2.556,0.00257,Q2/Q3,87,英国,双月刊
Swarm Intell-US,Swarm Intelligence,591,2.556,0.00048,Q2/Q3,13,美国,
Acta Trop,ACTA TROPICA,8833,2.555,0.01418,Q1/Q2,359,荷兰,月刊
IEEE J Electron Devi,IEEE Journal of the Electron Devices Society,1276,2.555,0.00352,Q2,188,,
Ethnic Health,ETHNICITY & HEALTH,1558,2.554,0.00253,Q1/Q2,65,英国,季刊
IEEE T Dielect El in,IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,11401,2.554,0.01064,Q2,259,美国,双月刊
Res Sports Med,Research in Sports Medicine,938,2.554,0.00119,Q2,36,英国,季刊
J Cult Herit,JOURNAL OF CULTURAL HERITAGE,3654,2.553,0.00303,Q2,187,法国,季刊
J Int Financ Mark I,Journal of International Financial Markets Institutions & Money,2402,2.553,0.00309,Q1,90,,
Neurophysiol Clin,NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY,1385,2.553,0.00178,Q2/Q3,43,法国,双月刊
J Environ Sci Heal C,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS,1103,2.552,0.00068,Q2/Q3,12,美国,半年刊
J Syst Architect,JOURNAL OF SYSTEMS ARCHITECTURE,1175,2.552,0.00111,Q2,116,荷兰,月刊
Chem Biol Drug Des,Chemical Biology & Drug Design,4549,2.548,0.00519,Q3,182,英国,月刊
Learn Media Technol,Learning Media and Technology,919,2.547,0.00133,Q1,32,,
Urban Ecosyst,URBAN ECOSYSTEMS,2811,2.547,0.00385,Q1/Q2,98,美国,
World J Mens Health,World Journal of Mens Health,541,2.547,0.001,Q2,37,韩国,3期/年
J Comput Aid Mol Des,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,4602,2.546,0.00409,Q2/Q3,74,荷兰,双月刊
