期刊缩写,Journal,JCR分区,2019年文章数,出版国家,出版周期
Acta Zool-Stockholm,Acta Zoologica,Q2/Q3,36,英国,季刊
Geothermics,Geothermics,Q1/Q2,129,英国,双月刊
Saudi Med J,Saudi Medical Journal,Q3,149,沙特阿拉伯,月刊
Virol Sin,Virologica Sinica,Q2,61,,
J Geophys Res-Atmos,Journal of Geophysical Research-Atmospheres,Q2,786,,
Liver Cancer,Liver Cancer,Q1,31,,
Int J Entrep Behav R,International Journal of Entrepreneurial Behavior & Research,Q2,86,,
Yeast,Yeast,Q2/Q3,53,英国,月刊
Int J Med Robot Comp,International Journal of Medical Robotics and Computer Assisted Surgery,Q2,78,英国,季刊
Small Methods,Small Methods,Q1,181,,
Dreaming,Dreaming,Q4,25,,
Mediterr Hist Rev,Mediterranean Historical Review,Q4,10,,
Fleischwirtschaft,Fleischwirtschaft,Q4,82,德国,月刊
Endocrine,Endocrine,Q3,309,美国,
J Toxicol Env Heal A,Journal of Toxicology and Environmental Health-Part A-Current Issues,Q2/Q3,91,美国,双月刊
Think Skills Creat,Thinking Skills and Creativity,Q2,74,,
Acta Chim Slov,Acta Chimica Slovenica,Q3,115,斯洛文尼亚,季刊
Curr Drug Deliv,Current Drug Delivery,Q4,80,阿拉伯联合酋长国,
Expo Math,Expositiones Mathematicae,Q2,18,德国,季刊
B Aust Math Soc,Bulletin of the Australian Mathematical Society,Q4,113,澳大利亚,双月刊
Cepal Rev,Cepal Review,Q4,30,,
Biochimie,Biochimie,Q2,253,法国,月刊
Comput Aided Design,Computer-Aided Design,Q1,105,英国,月刊
J Nutrigenet Nutrige,Journal of Nutrigenetics and Nutrigenomics,Q3,0,瑞士,双月刊
Hastings Law J,Hastings Law Journal,Q3,49,,
Anat Sci Educ,Anatomical Sciences Education,Q1,60,美国,双月刊
J Assoc Environ Reso,Journal of the Association of Environmental and Resource Economists,Q1,43,,
Mitt Klosterneuburg,Mitteilungen Klosterneuburg,Q4,21,奥地利,双月刊
Open Geosci,Open Geosciences,Q4,89,波兰,
IEEE Robot Autom Mag,IEEE Robotics & Automation Magazine,Q2,33,美国,季刊
Comput Aided Geom D,Computer Aided Geometric Design,Q2/Q3,64,荷兰,月刊
Diagn Interv Radiol,Diagnostic and Interventional Radiology,Q3,71,土耳其,季刊
Z Rheumatol,Zeitschrift Fur Rheumatologie,Q4,107,德国,双月刊
J Topol Anal,Journal of Topology and Analysis,Q2,38,新加坡,
Int J Public Opin R,International Journal of Public Opinion Research,Q2,38,,
J Fluid Struct,Journal of Fluids and Structures,Q2,207,英国,双月刊
Int J Interact Multi,International Journal of Interactive Multimedia and Artificial Intelligence,Q2,55,,
Build Environ,Building and Environment,Q1,627,英国,月刊
Ann Oto Rhinol Laryn,Annals of Otology Rhinology and Laryngology,Q3,184,美国,月刊
IEEE Contr Syst Mag,IEEE Control Systems Magazine,Q1,18,美国,双月刊
Asian J Commun,Asian Journal of Communication,Q4,27,,
Hist Polit Econ,History of Political Economy,Q2/Q4,40,,
Can J Physiol Pharm,Canadian Journal of Physiology and Pharmacology,Q3,145,加拿大,月刊
J Air Waste Manage,Journal of the Air & Waste Management Association,Q3,114,美国,
Clin Cardiol,Clinical Cardiology,Q3,143,美国,月刊
Phonology,Phonology,Q3,23,,
Opt Spectrosc+,Optics and Spectroscopy,Q4,255,俄国,月刊
Am J Physiol-Renal,American Journal of Physiology-Renal Physiology,Q2,288,美国,月刊
T Can Soc Mech Eng,Transactions of the Canadian Society for Mechanical Engineering,Q4,56,加拿大,季刊
Res Organ Behav,Research in Organizational Behavior,Q3,10,,
JAMA Intern Med,JAMA Internal Medicine,Q1,128,美国,
J Agric Meteorol,Journal of Agricultural Meteorology,Q2/Q4,25,日本,
J Comput Nonlin Dyn,Journal of Computational and Nonlinear Dynamics,Q3,126,美国,季刊
J Pediatr Orthop B,Journal of Pediatric Orthopaedics-Part B,Q4,98,美国,双月刊
Prog Phys Geog,Progress in Physical Geography-Earth and Environment,Q1/Q2,44,,
J Am Soc Brew Chem,Journal of the American Society of Brewing Chemists,Q4,34,美国,季刊
Fam Bus Rev,Family Business Review,Q1,16,,
J Psycholinguist Res,Journal of Psycholinguistic Research,Q3/Q4,76,,
Sch Ment Health,School Mental Health,Q2,58,,
Australas Orthod J,Australasian Orthodontic Journal,Q4,26,,
Int J Astrobiol,International Journal of Astrobiology,Q2/Q3,68,美国,季刊
Food Bioprod Process,Food and Bioproducts Processing,Q1/Q2,161,英国,季刊
Aust Dent J,Australian Dental Journal,Q3,53,澳大利亚,季刊
Math Model Anal,Mathematical Modelling and Analysis,Q2,37,立陶宛,季刊
Mar Micropaleontol,Marine Micropaleontology,Q1,37,荷兰,月刊
Sensor Actuat B-Chem,Sensors and Actuators B-Chemical,Q1,1707,瑞士,月刊
J Colloid Interf Sci,Journal of Colloid and Interface Science,Q1,1452,美国,双月刊
Chromatographia,Chromatographia,Q3/Q4,145,德国,月刊
Brain Connect,Brain Connectivity,Q1,61,,
J Psychol Couns Sch,Journal of Psychologists and Counsellors in Schools,Q4,15,,
Cell Cycle,Cell Cycle,Q2,253,美国,双月刊
Signal Image Video P,Signal Image and Video Processing,Q3,192,英国,
Auton Robot,Autonomous Robots,Q1/Q2,122,荷兰,双月刊
Contrast Media Mol I,Contrast Media & Molecular Imaging,Q3,79,英国,双月刊
Contrib Indian Soc,Contributions to Indian Sociology,Q4,15,,
Anal Math Phys,Analysis and Mathematical Physics,Q1,136,瑞士,
J Approx Theory,Journal of Approximation Theory,Q2,70,美国,月刊
J Child Lang,Journal of Child Language,Q1/Q3,59,,
Langenbeck Arch Surg,Langenbecks Archives of Surgery,Q2,105,德国,双月刊
Liq Cryst Rev,Liquid Crystals Reviews,Q1/Q2,6,英国,
Psychol Violence,Psychology of Violence,Q1/Q2,64,,
J Geophys Res-Sol Ea,Journal of Geophysical Research-Solid Earth,Q1,708,,
Internet Interv,Internet Interventions-the Application of Information Technology in Mental and Behavioural Health,Q1/Q2,78,,
J Electromyogr Kines,Journal of Electromyography and Kinesiology,Q2/Q3/Q4,95,英国,双月刊
Int J Numer Anal Met,International Journal for Numerical and Analytical Methods in Geomechanics,Q2,129,英国,月刊
Anaesth Intens Care,Anaesthesia and Intensive Care,Q4,69,澳大利亚,双月刊
J Pediatr Health Car,Journal of Pediatric Health Care,Q2/Q3,74,美国,双月刊
Actuators,Actuators,Q2,76,,
Aging-US,Aging-US,Q1/Q2,741,美国,月刊
Vision Res,Vision Research,Q2/Q3,149,英国,双周刊
J Appl Crystallogr,Journal of Applied Crystallography,Q2,154,英国,
J Nippon Med Sch,Journal of Nippon Medical School,Q4,57,日本,
J Asian Archit Build,Journal of Asian Architecture and Building Engineering,Q4,46,日本,半年刊
J Am Hist,Journal of American History,Q2,24,,
Acta Bioeth,Acta Bioethica,Q4,24,智利,
Sustain Cities Soc,Sustainable Cities and Society,Q1/Q2,521,,
Inform Technol Manag,Information Technology & Management,Q3/Q4,14,,
Macroecon Dyn,Macroeconomic Dynamics,Q3,123,,
J Inst Theor Econ,Journal of Institutional and Theoretical Economics-Zeitschrift Fur Die Gesamte Staatswissenschaft,Q4,41,,
Reg Stud Mar Sci,Regional Studies in Marine Science,Q3/Q4,227,,
J Electrochem Energy,Journal of Electrochemical Energy Conversion and Storage,Q3/Q4,41,,
Chem Eng Commun,Chemical Engineering Communications,Q3,136,美国,月刊
Neues Jahrb Geol P-A,Neues Jahrbuch Fur Geologie Und Palaontologie-Abhandlungen,Q4,78,德国,月刊
Men Masc,Men and Masculinities,Q2,46,,
Neuropsychologia,Neuropsychologia,Q2/Q3,344,英国,月刊
J Bioact Compat Pol,Journal of Bioactive and Compatible Polymers,Q3/Q4,34,英国,双月刊
Appl Nanosci,Applied Nanoscience,Q3,194,,
J Subst Use,Journal of Substance Use,Q4,91,,
Int Interact,International Interactions,Q3,37,,
Conserv Soc,Conservation & Society,Q3,31,,
Forum-J Appl Res Con,Forum-A Journal of Applied Research in Contemporary Politics,Q4,22,,
Environment,Environment,Q3,15,美国,月刊
Manage Sci,Management Science,Q1/Q2,300,美国,月刊
Acta Geol Pol,Acta Geologica Polonica,Q4,20,波兰,季刊
J Chem Technol Biot,Journal of Chemical Technology and Biotechnology,Q2/Q3,394,英国,月刊
Visual Neurosci,Visual Neuroscience,Q1/Q3,12,美国,双月刊
Nefrologia,Nefrologia,Q4,56,西班牙,季刊
Theor Exp Chem+,Theoretical and Experimental Chemistry,Q4,36,乌克兰,双月刊
J Policy Anal Manag,Journal of Policy Analysis and Management,Q1,34,,
Rev Suisse Zool,Revue Suisse de Zoologie,Q4,28,瑞士,季刊
Eur Manag Rev,European Management Review,Q4,68,,
Ccamlr Sci,Ccamlr Science,Q4,13,澳大利亚,年刊
J Am Acad Audiol,Journal of the American Academy of Audiology,Q3,76,美国,月刊
Estud Filol-Valdivia,Estudios Filologicos,Q4,29,,
J Renal Nutr,Journal of Renal Nutrition,Q2/Q3,64,美国,季刊
Mech Solids+,Mechanics of Solids,Q4,80,俄国,双月刊
Annu Rev Anim Biosci,Annual Review of Animal Biosciences,Q1,24,美国,
Stroke,Stroke,Q1,550,美国,月刊
J Advertising,Journal of Advertising,Q1,41,,
Multibody Syst Dyn,Multibody System Dynamics,Q3,53,荷兰,双月刊
Int J Retail Distrib,International Journal of Retail & Distribution Management,Q3,77,,
J Child Adoles Subst,Journal of Child & Adolescent Substance Abuse,Q4,26,,
J BUON,Journal of BUON,Q4,345,希腊,季刊
Annu Rev Vis Sci,Annual Review of Vision Science,Q1,23,,
Opt Appl,Optica Applicata,Q4,44,波兰,季刊
Epidemiol Infect,Epidemiology and Infection,Q2/Q3,280,英国,双月刊
J Ethn Subst Abuse,Journal of Ethnicity in Substance Abuse,Q4,38,英国,
Protein Eng Des Sel,Protein Engineering Design & Selection,Q4,38,英国,月刊
Int Aff,International Affairs,Q1,63,,
Evol Psychiatr,Evolution Psychiatrique,Q4,44,,
J Algebra,Journal of Algebra,Q3,410,美国,双月刊
Community Dent Hlth,Community Dental Health,Q4,44,英国,季刊
Sociol Forsknin,Sociologisk Forskning,Q4,14,,
npj Syst Biol Appl,npj Systems Biology and Applications,Q1,35,,
J Eng Educ,Journal of Engineering Education,Q1/Q2,24,美国,季刊
Qual Theor Dyn Syst,Qualitative Theory of Dynamical Systems,Q1/Q2,62,瑞士,
J Retail Consum Serv,Journal of Retailing and Consumer Services,Q2,208,,
J Opt Soc Am A,Journal of the Optical Society of America A-Optics Image Science and Vision,Q3,291,,
T Asabe,Transactions of the Asabe,Q3,170,美国,
Curr Vasc Pharmacol,Current Vascular Pharmacology,Q2/Q3,67,英国,季刊
Anasth Intensiv Notf,Anasthesiologie Intensivmedizin Notfallmedizin Schmerztherapie,Q4,56,德国,双月刊
Ore Geol Rev,Ore Geology Reviews,Q1,437,荷兰,季刊
Archaea,Archaea-An International Microbiological Journal,Q2,6,美国,
J Pathol Clin Res,Journal of Pathology Clinical Research,Q2,24,,
Can J Elect Comput E,Canadian Journal of Electrical and Computer Engineering-Revue Canadienne de Genie Electrique et Informatique,Q3,24,加拿大,季刊
Clin Orthop Relat R,Clinical Orthopaedics and Related Research,Q1,215,美国,月刊
Ann Plas Surg,Annals of Plastic Surgery,Q3,333,美国,月刊
ACS Central Sci,ACS Central Science,Q1,184,,
Grasas Aceites,Grasas Y Aceites,Q3/Q4,50,西班牙,季刊
Polit Res Quart,Political Research Quarterly,Q3,67,,
Starch-Starke,Starch-Starke,Q2,141,德国,月刊
IEEE T Circuits-I,IEEE Transactions on Circuits and Systems I-Regular Papers,Q2,407,美国,月刊
Neuropsychobiology,Neuropsychobiology,Q3/Q4,27,瑞士,季刊
Found Trends Inf Ret,Foundations and Trends in Information Retrieval,Q1,3,美国,
Duke Law J,Duke Law Journal,Q1,36,,
Uluslar Iliskiler,Uluslararasi Iliskiler-International Relations,Q4,31,,
IEEE T Semiconduct M,IEEE Transactions on Semiconductor Manufacturing,Q3,80,美国,季刊
Account Rev,Accounting Review,Q1,88,,
Artif Cell Nanomed B,Artificial Cells Nanomedicine and Biotechnology,Q2/Q3,467,英国,双月刊
Int Rev Hydrobiol,International Review of Hydrobiology,Q3,13,德国,双月刊
An Jardin Bot Madrid,Anales Del Jardin Botanico de Madrid,Q4,14,西班牙,半年刊
Int J Circ Theor App,International Journal of Circuit Theory and Applications,Q3,124,英国,双月刊
Agr Food Sci,Agricultural and Food Science,Q3/Q4,19,芬兰,季刊
Lithic Technol,Lithic Technology,Q2,15,,
J Soil Sediment,Journal of Soils and Sediments,Q2,343,德国,季刊
Entomol Fennica,Entomologica Fennica,Q4,20,芬兰,季刊
U Politeh Buch Ser A,University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics,Q4,113,罗马尼亚,季刊
J Happiness Stud,Journal of Happiness Studies,Q1/Q2,135,,
Immunol Invest,Immunological Investigations,Q3,67,美国,季刊
Acad Med,Academic Medicine,Q1,215,美国,月刊
Top,Top,Q3,19,西班牙,半年刊
Work Stress,Work and Stress,Q1,21,,
Acta Endocrinol-Buch,Acta Endocrinologica-Bucharest,Q4,62,罗马尼亚,季刊
J Appl Biomater Func,Journal of Applied Biomaterials & Functional Materials,Q3/Q4,45,意大利,3期/年
Perspect Plant Ecol,Perspectives in Plant Ecology Evolution and Systematics,Q2,45,德国,半年刊
J Public Econ,Journal of Public Economics,Q2,92,,
J Palaeogeog-English,Journal of Palaeogeography-English,Q2/Q3,27,,
World J Pediatr,World Journal of Pediatrics,Q3,74,中国,季刊
J Nondestruct Eval,Journal of Nondestructive Evaluation,Q2,106,美国,季刊
Trop J Pharm Res,Tropical Journal of Pharmaceutical Research,Q4,362,尼日利亚,半年刊
Front Mech Eng-Prc,Frontiers of Mechanical Engineering,Q2,41,,
Learn Instr,Learning and Instruction,Q1,73,,
J Fam Stud,Journal of Family Studies,Q3,21,,
Postep Kardiol Inter,Postepy W Kardiologii Interwencyjnej,Q4,65,波兰,季刊
J Vector Dis,Journal of Vector Borne Diseases,Q3/Q4,28,,
Environ Innov Soc Tr,Environmental Innovation and Societal Transitions,Q1,52,,
J Orofac Orthop,Journal of Orofacial Orthopedics-Fortschritte Der Kieferorthopadie,Q4,29,德国,双月刊
IEEE T Eng Manage,IEEE Transactions on Engineering Management,Q2,54,美国,季刊
Public Manag Rev,Public Management Review,Q1,83,,
J Cent South Univ,Journal of Central South University,Q3,291,中国,
CNS Neurosci Ther,CNS Neuroscience & Therapeutics,Q1/Q2,128,英国,季刊
IEEE J Biomed Health,IEEE Journal of Biomedical and Health Informatics,Q1,261,美国,
Sex Med-UK,Sexual Medicine,Q2/Q3,63,英国,
World Bank Econ Rev,World Bank Economic Review,Q2,36,,
Twin Res Hum Genet,Twin Research and Human Genetics,Q4,100,澳大利亚,双月刊
Afr J Herpetol,African Journal of Herpetology,Q3,6,南非,
Mindfulness,Mindfulness,Q1,212,,
Microorganisms,Microorganisms,Q2,696,,
npj Schizophr,npj Schizophrenia,Q1,21,,
J Anim Breed Genet,Journal of Animal Breeding and Genetics,Q1,47,德国,双月刊
J Int Trade Econ Dev,Journal of International Trade & Economic Development,Q3,48,,
Nat Rev Cancer,Nature Reviews Cancer,Q1,43,英国,月刊
Toxicol Environ Chem,Toxicological and Environmental Chemistry,Q4,20,英国,
J Jpn Stud,Journal of Japanese Studies,Q3,8,,
J Web Eng,Journal of Web Engineering,Q4,21,美国,季刊
Polimery-W,Polimery,Q4,79,,月刊
J Organ Change Manag,Journal of Organizational Change Management,Q4,42,,
Integr Transf Spec F,Integral Transforms and Special Functions,Q3/Q4,58,英国,月刊
Rev Psiquiatr Salud,Revista de Psiquiatria Y Salud Mental,Q2,19,西班牙,
Comp Immunol Microb,Comparative Immunology Microbiology and Infectious Diseases,Q2/Q4,145,英国,双月刊
J Crustacean Biol,Journal of Crustacean Biology,Q2/Q3,86,美国,季刊
Condor,Condor,Q1,55,美国,季刊
Mem Cognition,Memory & Cognition,Q3,110,,
Cornell Hosp Q,Cornell Hospitality Quarterly,Q1/Q2,30,,
Mech Res Commun,Mechanics Research Communications,Q2,81,英国,双月刊
Anim Cells Syst,Animal Cells and Systems,Q3/Q4,46,英国,季刊
Thorax,Thorax,Q1,146,英国,月刊
J Educ Policy,Journal of Education Policy,Q1,40,,
Stud Neotrop Fauna E,Studies on Neotropical Fauna and Environment,Q3,27,英国,三年刊
J Neurosci,Journal of Neuroscience,Q1,729,美国,周刊
J Am Math Soc,Journal of the American Mathematical Society,Q1,23,美国,季刊
Astin Bull,Astin Bulletin,Q2/Q3,31,比利时,半年刊
Ars Combinatoria,Ars Combinatoria,Q4,115,加拿大,季刊
Eur Polit Sci Rev,European Political Science Review,Q1,29,,
CUAJ-Can Urol Assoc,CUAJ-Canadian Urological Association Journal,Q4,105,加拿大,双月刊
Cesk Psychol,Ceskoslovenska Psychologie,Q4,55,,
J Pers Disord,Journal of Personality Disorders,Q2,47,,
IEEJ T Electr Electr,IEEJ Transactions on Electrical and Electronic Engineering,Q4,232,日本,季刊
J Appl Psychol,Journal of Applied Psychology,Q1,81,,
J Food Biochem,Journal of Food Biochemistry,Q3/Q4,337,美国,双月刊
J Ocul Pharmacol Th,Journal of Ocular Pharmacology and Therapeutics,Q3,58,美国,季刊
Acta Mater,Acta Materialia,Q1,720,美国,双月刊
Annu Rev Genom Hum G,Annual Review of Genomics and Human Genetics,Q1,22,美国,年刊
Tieraerztl Prax,Tierarztliche Praxis,Q4,78,德国,
Biomass Convers Bior,Biomass Conversion and Biorefinery,Q2/Q3,67,,
Yonago Acta Med,Yonago Acta Medica,Q4,44,日本,半年刊
Landbauforschung-Ger,Landbauforschung,Q4,7,德国,季刊
J Cyst Fibros,Journal of Cystic Fibrosis,Q1,98,荷兰,季刊
Commun Cult Crit,Communication Culture & Critique,Q3,32,,
J Socioling,Journal of Sociolinguistics,Q1,26,,
Aquacult Eng,Aquacultural Engineering,Q1/Q2,28,荷兰,双月刊
Curr Med Chem,Current Medicinal Chemistry,Q1/Q2,380,荷兰,双月刊
Ann Surg Oncol,Annals of Surgical Oncology,Q1/Q2,565,美国,月刊
Educ Urban Soc,Education and Urban Society,Q4,53,,
Gastrointest Endosc,Gastrointestinal Endoscopy,Q1,202,美国,月刊
Int J-Toronto,International Journal,Q4,34,,
J Heterocyclic Chem,Journal of Heterocyclic Chemistry,Q3,332,美国,双月刊
Int J Clin Pract,International Journal of Clinical Practice,Q2,91,英国,月刊
J Insect Behav,Journal of Insect Behavior,Q3,30,美国,双月刊
Neurologia,Neurologia,Q3,56,西班牙,月刊
J Supercond Nov Magn,Journal of Superconductivity and Novel Magnetism,Q4,475,美国,双月刊
J Vet Dent,Journal of Veterinary Dentistry,Q4,19,美国,
J Eng Thermophys-Rus,Journal of Engineering Thermophysics,Q4,47,俄国,季刊
J Visual-Japan,Journal of Visualization,Q4,88,德国,季刊
Lang Cult Curric,Language Culture and Curriculum,Q3/Q4,20,,
J Youth Stud,Journal of Youth Studies,Q2,83,,
Youth Soc,Youth & Society,Q2,52,,
Eur Cells Mater,European Cells & Materials,Q1/Q2,44,瑞士,半年刊
J Coll Student Dev,Journal of College Student Development,Q3,43,,
J Perinat Neonat Nur,Journal of Perinatal & Neonatal Nursing,Q4,37,美国,季刊
Open Astron,Open Astronomy,Q4,19,,
Comput Graph Forum,Computer Graphics Forum,Q2,270,英国,双月刊
J Adolescence,Journal of Adolescence,Q2,137,,
Celebr Stud,Celebrity Studies,Q1,33,,
Econ Ind Democracy,Economic and Industrial Democracy,Q2,44,,
Hum Ecol,Human Ecology,Q2/Q4,72,,
Res Math Sci,Research in the Mathematical Sciences,Q2,34,,
Comput Math Appl,Computers & Mathematics With Applications,Q1,465,英国,双月刊
Argumentation,Argumentation,Q2/Q4,21,,
Int J Std AIDS,International Journal of Std & AIDS,Q4,205,英国,月刊
Frequenz,Frequenz,Q4,47,德国,双月刊
Occup Ther Int,Occupational Therapy International,Q4,30,英国,
Genome,Genome,Q3,63,加拿大,双月刊
Acta Phys Sin-Ch Ed,Acta Physica Sinica,Q4,796,中国,月刊
Med Maladies Infect,Medecine et Maladies Infectieuses,Q4,57,法国,月刊
J Theor Comput Acous,Journal of Theoretical and Computational Acoustics,Q4,26,,
Metab Syndr Relat D,Metabolic Syndrome and Related Disorders,Q4,59,美国,季刊
Int Commun Gaz,International Communication Gazette,Q2,37,,
Exp Parasitol,Experimental Parasitology,Q3,135,美国,月刊
Sci Publ Policy,Science and Public Policy,Q3/Q4,76,,
Acta Phys-Chim Sin,Acta Physico-Chimica Sinica,Q4,131,中国,不定期
Fordham Law Rev,Fordham Law Review,Q3,68,,
Mob Media Commun,Mobile Media & Communication,Q1,22,,
Colloid Polym Sci,Colloid and Polymer Science,Q3/Q4,146,德国,月刊
Comput Biol Med,Computers in Biology and Medicine,Q1/Q2,341,美国,双月刊
Silvae Genet,Silvae Genetica,Q3/Q4,19,德国,双月刊
Cardiol Res Pract,Cardiology Research and Practice,Q4,76,,
Health Rep,Health Reports,Q1,27,加拿大,
